player=Longrodvonhugen
saved_at=1782708585
packet=sandoria:completed	144	sandoria	completed	0,0,0,8388608,0,0,0,0
packet=aht_urhgan:current	128	aht_urhgan	current	0,0,0,0,0,0,0,0
packet=coalition:current	256	coalition	current	0,0,0,0,0,0,0,0
packet=outlands:current	120	outlands	current	0,0,0,0,0,0,0,0
packet=jeuno:completed	168	jeuno	completed	0,0,0,0,0,0,0,0
packet=outlands:completed	184	outlands	completed	0,0,0,0,0,0,0,0
packet=adoulin:current	240	adoulin	current	0,0,0,0,0,0,0,0
packet=coalition:completed	264	coalition	completed	0,0,0,0,0,0,0,0
packet=other_areas:completed	176	other_areas	completed	0,0,0,49152,0,0,0,0
packet=sandoria:current	80	sandoria	current	0,0,0,8388608,0,0,0,0
packet=windurst:completed	160	windurst	completed	0,0,0,0,0,0,0,0
packet=other_areas:current	112	other_areas	current	0,0,0,0,0,0,0,0
packet=crystal_war:completed	200	crystal_war	completed	0,0,0,0,0,0,0,0
packet=crystal_war:current	136	crystal_war	current	0,0,0,0,0,0,0,0
packet=adoulin:completed	248	adoulin	completed	0,0,0,0,0,0,0,0
packet=abyssea:completed	232	abyssea	completed	0,0,0,0,0,0,0,0
packet=abyssea:current	224	abyssea	current	0,0,0,0,0,0,0,0
packet=bastok:current	88	bastok	current	0,0,0,0,0,0,0,0
packet=bastok:completed	152	bastok	completed	0,0,0,0,0,0,0,0
packet=aht_urhgan:completed	192	aht_urhgan	completed	0,0,0,0,0,0,0,0
packet=windurst:current	96	windurst	current	0,0,0,0,0,0,0,0
packet=jeuno:current	104	jeuno	current	0,0,0,0,0,0,0,0
