zone	zone_name	target_name	target_identity	tx	tz	ty	edge_id	from_zone	from_zone_name	sx	sz	sy	mission_step_ids	status	waypoints	start_snap	end_snap	start_valid	end_valid
192	Inner Horutoto Ruins	Ancient Magical Gizmo	npc:v1:192:17563868	464.506	100.004	-3.508	1698116474	115	West Sarutabaruta	-200.937	59.994	-11.573	mission:Windurst:1:step-018	mesh-no-path	1	666.693	0.000	1	1
192	Inner Horutoto Ruins	Ancient Magical Gizmo	npc:v1:192:17563868	464.506	100.004	-3.508	1631073146	116	East Sarutabaruta	437.101	180.014	-9.602	mission:Windurst:1:step-018	mesh-connected	20	1.302	0.000	1	1
192	Inner Horutoto Ruins	Ancient Magical Gizmo	npc:v1:192:17563868	464.506	100.004	-3.508	812659834	169	Toraimarai Canal	-259.996	242.859	6.399	mission:Windurst:1:step-018	mesh-connected	88	1.407	0.000	1	1
192	Inner Horutoto Ruins	Ancient Magical Gizmo	npc:v1:192:17563869	406.511	59.987	-3.024	1698116474	115	West Sarutabaruta	-200.937	59.994	-11.573	mission:Windurst:1:step-018	mesh-no-path	1	607.508	0.000	1	1
192	Inner Horutoto Ruins	Ancient Magical Gizmo	npc:v1:192:17563869	406.511	59.987	-3.024	1631073146	116	East Sarutabaruta	437.101	180.014	-9.602	mission:Windurst:1:step-018	mesh-connected	21	1.302	0.000	1	1
192	Inner Horutoto Ruins	Ancient Magical Gizmo	npc:v1:192:17563869	406.511	59.987	-3.024	812659834	169	Toraimarai Canal	-259.996	242.859	6.399	mission:Windurst:1:step-018	mesh-connected	91	1.407	0.000	1	1
192	Inner Horutoto Ruins	Ancient Magical Gizmo	npc:v1:192:17563870	464.500	20.000	-3.519	1698116474	115	West Sarutabaruta	-200.937	59.994	-11.573	mission:Windurst:1:step-018	mesh-no-path	1	666.686	0.000	1	1
192	Inner Horutoto Ruins	Ancient Magical Gizmo	npc:v1:192:17563870	464.500	20.000	-3.519	1631073146	116	East Sarutabaruta	437.101	180.014	-9.602	mission:Windurst:1:step-018	mesh-connected	26	1.302	0.000	1	1
192	Inner Horutoto Ruins	Ancient Magical Gizmo	npc:v1:192:17563870	464.500	20.000	-3.519	812659834	169	Toraimarai Canal	-259.996	242.859	6.399	mission:Windurst:1:step-018	mesh-connected	87	1.407	0.000	1	1
192	Inner Horutoto Ruins	Ancient Magical Gizmo	npc:v1:192:17563871	295.501	19.995	-3.522	1698116474	115	West Sarutabaruta	-200.937	59.994	-11.573	mission:Windurst:1:step-018	mesh-no-path	1	498.112	0.000	1	1
192	Inner Horutoto Ruins	Ancient Magical Gizmo	npc:v1:192:17563871	295.501	19.995	-3.522	1631073146	116	East Sarutabaruta	437.101	180.014	-9.602	mission:Windurst:1:step-018	mesh-connected	22	1.302	0.000	1	1
192	Inner Horutoto Ruins	Ancient Magical Gizmo	npc:v1:192:17563871	295.501	19.995	-3.522	812659834	169	Toraimarai Canal	-259.996	242.859	6.399	mission:Windurst:1:step-018	mesh-connected	84	1.407	0.000	1	1
192	Inner Horutoto Ruins	Ancient Magical Gizmo	npc:v1:192:17563872	353.497	60.001	-3.003	1698116474	115	West Sarutabaruta	-200.937	59.994	-11.573	mission:Windurst:1:step-018	mesh-no-path	1	554.500	0.000	1	1
192	Inner Horutoto Ruins	Ancient Magical Gizmo	npc:v1:192:17563872	353.497	60.001	-3.003	1631073146	116	East Sarutabaruta	437.101	180.014	-9.602	mission:Windurst:1:step-018	mesh-connected	19	1.302	0.000	1	1
192	Inner Horutoto Ruins	Ancient Magical Gizmo	npc:v1:192:17563872	353.497	60.001	-3.003	812659834	169	Toraimarai Canal	-259.996	242.859	6.399	mission:Windurst:1:step-018	mesh-connected	87	1.407	0.000	1	1
192	Inner Horutoto Ruins	Ancient Magical Gizmo	npc:v1:192:17563873	295.501	100.011	-3.491	1698116474	115	West Sarutabaruta	-200.937	59.994	-11.573	mission:Windurst:1:step-018	mesh-no-path	1	498.114	0.000	1	1
192	Inner Horutoto Ruins	Ancient Magical Gizmo	npc:v1:192:17563873	295.501	100.011	-3.491	1631073146	116	East Sarutabaruta	437.101	180.014	-9.602	mission:Windurst:1:step-018	mesh-connected	19	1.302	0.000	1	1
192	Inner Horutoto Ruins	Ancient Magical Gizmo	npc:v1:192:17563873	295.501	100.011	-3.491	812659834	169	Toraimarai Canal	-259.996	242.859	6.399	mission:Windurst:1:step-018	mesh-connected	87	1.407	0.000	1	1
